Designator,Footprint,Quantity,Value,LCSC Part #
10K_2,PS6020MC1BR10K,1,R_Potentiometer,
10K,PS1001B1BR10K,1,R_Potentiometer,
A1,Arduino_UNO_R3,1,Arduino_Leonardo,
"C3, C4, C5",C_Disc_D3.0mm_W2.0mm_P2.50mm,3,1uF,
"H1, H13, H2, H3, H4",MountingHole_3.2mm_M3,5,MountingHole_M3,
"J10, J19, J8, J9",PinSocket_1x06_P2.54mm_Vertical,4,PINHD_1x6_Female,
"J11, J12, J16, J20, J24, J25, J26, J3",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,8,JST_03,
"J13, J14, J15, J5",JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,4,JST_05,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Bridged,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,4.7k,
"R10, R11, R13, R14, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,2.2k,
"R12, R17, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,100ohm,
