Designator,Mid X,Mid Y,Rotation,Layer
10K_2,138.733,-87.551001,90.0,top
10K,81.902001,-98.739,90.0,top
A1,212.233,-61.694704,90.0,top
C3,192.040002,-41.122705,270.0,bottom
C4,192.040002,-47.218705,270.0,bottom
C5,192.040002,-53.314705,270.0,bottom
J10,225.695,-85.064704,90.0,bottom
J11,228.148,-63.728704,180.0,bottom
J12,213.961235,-63.638472,180.0,bottom
J13,226.838,-48.662703,90.0,bottom
J14,220.153001,-48.582701,90.0,bottom
J15,213.503001,-48.542699,90.0,bottom
J16,132.444649,-45.525998,180.0,bottom
J19,225.695,-72.364704,90.0,bottom
J20,145.486,-45.611832,180.0,bottom
J24,200.288001,-41.122704,180.0,bottom
J25,200.288002,-47.472704,180.0,bottom
J26,200.208,-53.822704,180.0,bottom
J3,81.637,-174.508874,0.0,bottom
J5,138.653,-128.651,0.0,bottom
J8,198.897999,-84.665645,90.0,bottom
J9,198.62595,-72.237704,90.0,bottom
R1,235.982,-94.716705,270.0,bottom
R10,224.425,-94.716704,90.0,bottom
R11,227.6,-94.716703,270.0,bottom
R12,221.25,-94.716696,270.0,bottom
R13,213.503,-94.716706,90.0,bottom
R14,216.678,-94.716703,270.0,bottom
R17,210.328,-94.716705,270.0,bottom
R2,232.807,-94.716706,270.0,bottom
R4,205.756,-94.716703,270.0,bottom
R5,202.454,-94.716704,90.0,bottom
R9,199.152,-94.716704,270.0,bottom
