Designator,Mid X,Mid Y,Rotation,Layer
10K_2,137.758997,-89.391,90.0,top
10K,80.927998,-100.578999,90.0,top
A1,211.258997,-63.534703,90.0,top
C3,191.065999,-42.962704,270.0,bottom
C4,191.065999,-49.058704,270.0,bottom
C5,191.065999,-55.154704,270.0,bottom
J10,224.720997,-86.904703,90.0,bottom
J11,227.173997,-65.568703,180.0,bottom
J12,212.987232,-65.478471,180.0,bottom
J13,225.863997,-50.502702,90.0,bottom
J14,219.178998,-50.4227,90.0,bottom
J15,212.528998,-50.382698,90.0,bottom
J16,131.470646,-47.365997,180.0,bottom
J19,224.720997,-74.204703,90.0,bottom
J20,144.511997,-47.451831,180.0,bottom
J24,199.313998,-42.962703,180.0,bottom
J25,199.313999,-49.312703,180.0,bottom
J26,199.233997,-55.662703,180.0,bottom
J3,80.662997,-176.348873,0.0,bottom
J5,137.678997,-130.490999,0.0,bottom
J8,197.923996,-86.505644,90.0,bottom
J9,197.651947,-74.077703,90.0,bottom
R1,235.007997,-96.556704,270.0,bottom
R10,223.450997,-96.556703,90.0,bottom
R11,226.625997,-96.556702,270.0,bottom
R12,220.275997,-96.556695,270.0,bottom
R13,212.528997,-96.556705,90.0,bottom
R14,215.703997,-96.556702,270.0,bottom
R17,209.353997,-96.556704,270.0,bottom
R2,231.832997,-96.556705,270.0,bottom
R4,204.781997,-96.556702,270.0,bottom
R5,201.479997,-96.556703,90.0,bottom
R9,198.177997,-96.556703,270.0,bottom
